,Unnamed: 0,year,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,match_num,country,target,req_run_rate,over_start_run_rate,over_start_total_score,over_start_total_wickets_fallen,over,Bowler,batter_onStrike,batter_offstrike,wickets_fallen,sixers,fours,total_runs,bat_on_str_Ave,bat_on_str_SR,bat_on_str_100,bat_on_str_50,bat_on_str_0,bat_on_str_4s,bat_on_str_6s,bat_on_str_Mat,bat_on_str_Inns,bat_on_str_NO,bat_on_str_Runs,bat_on_str_HS,bat_on_str_BF,bowler_Mat,bowler_Inns,bowler_Overs,bowler_Mdns,bowler_Runs,bowler_Wkts,bowler_Ave,bowler_Econ,bowler_SR,bowler_4w,bowler_5w,bat_off_str_Ave,bat_off_str_SR,bat_off_str_100,bat_off_str_50,bat_off_str_0,bat_off_str_4s,bat_off_str_6s,bat_off_str_Mat,bat_off_str_Inns,bat_off_str_NO,bat_off_str_Runs,bat_off_str_HS,bat_off_str_BF,date
5821,5821,['2023-01-03'],0,0,0,0,0,3,4,1,1,2,1984,Sri Lanka,163,8.421052632,3.0,3,0,1,Shivam Mavi,BKG Mendis,P Nissanka,1,0,2,9,22.53,129.62,0,10,5,80,46,49.0,49,2,1059,79,817,,,,,,,,,,,,29.85,114.17,0,9,3,89,24,36.0,35,1,1015,75,889,2023-01-03
5823,5823,['2023-01-03'],6,1,9,0,0,14,1,14,0,2,1984,Sri Lanka,163,8.647058824,5.333333333,16,1,3,Shivam Mavi,DM de Silva,BKG Mendis,1,0,2,8,21.58,113.81,0,3,2,52,10,33.0,32,3,626,66,550,,,,,,,,,,,,22.53,129.62,0,10,5,80,46,49.0,49,2,1059,79,817,2023-01-03
5834,5834,['2023-01-03'],12,2,17,2,1,9,15,21,25,2,1984,Sri Lanka,163,9.333333333,7.642857143,107,5,14,Shivam Mavi,MD Shanaka,PWH de Silva,1,0,0,3,20.06,117.57,0,4,10,88,57,82.0,77,17,1204,74,1024,,,,,,,,,,,,21.58,113.81,0,3,2,52,10,33.0,32,3,626,66,550,2023-01-03
5837,5837,['2023-01-03'],18,3,20,0,0,1,4,1,3,2,1984,Sri Lanka,163,10.66666667,7.705882353,131,7,17,Shivam Mavi,C Karunaratne,M Theekshana,1,0,0,3,15.11,104.47,0,0,5,14,10,38.0,31,14,257,31,246,,,,,,,,,,,,5.16,93.93,0,0,3,1,2,32.0,12,6,31,11,33,2023-01-03
5862,5862,['2023-01-05'],7,0,12,1,0,0,4,0,5,2,1985,India,207,10.33333333,10.5,21,2,2,D Madushanka,RA Tripathi,SA Yadav,1,0,1,6,,,,,,,,,,,,,,7.0,7,24,0,190,7,27.14,7.91,20.5,0,0,42.87,179.56,2,12,3,132,80,43.0,41,8,1415,117,788,2023-01-05
5876,5876,['2023-01-05'],18,0,25,0,0,23,1,52,1,2,1985,India,207,14.5,9.3125,149,6,16,M Theekshana,Shivam Mavi,AR Patel,0,0,1,8,,,,,,,,1.0,,,,,,33.0,33,126.1,0,831,32,25.96,6.58,23.6,0,0,16.83,135.57,0,0,1,17,7,38.0,23,11,202,31,149,2023-01-05
5877,5877,['2023-01-05'],21,2,28,2,6,5,25,6,55,2,1985,India,207,16.66666667,9.235294118,157,6,17,D Madushanka,AR Patel,Shivam Mavi,0,2,1,17,16.83,135.57,0,0,1,17,7,38.0,23,11,202,31,149,7.0,7,24,0,190,7,27.14,7.91,20.5,0,0,,,,,,,,1.0,,,,,,2023-01-05
5878,5878,['2023-01-05'],18,2,14,2,6,9,27,22,56,2,1985,India,207,16.5,9.666666667,174,6,18,CAK Rajitha,AR Patel,Shivam Mavi,0,0,1,12,16.83,135.57,0,0,1,17,7,38.0,23,11,202,31,149,14.0,14,52,0,499,13,38.38,9.59,24,0,0,,,,,,,,1.0,,,,,,2023-01-05
5879,5879,['2023-01-05'],0,0,0,2,2,32,12,63,25,2,1985,India,207,21.0,9.789473684,186,6,19,MD Shanaka,Shivam Mavi,AR Patel,2,0,0,4,,,,,,,,1.0,,,,,,83.0,38,62.1,0,504,21,24,8.1,17.7,0,0,16.83,135.57,0,0,1,17,7,38.0,23,11,202,31,149,2023-01-05
5929,5929,['2018-06-07'],0,0,0,0,0,16,9,21,4,1,669,Afghanistan,210,9.0,6.833333333,82,2,12,Ariful Haque,Samiullah Shenwari,Asghar Stanikzai,1,2,0,13,22.21,120.54,0,2,2,69,35,57.0,51,9,933,61,774,2.0,,,,,,,,,,,21.27,105.76,0,3,2,57,45,53.0,48,4,936,62,885,2018-06-07
